LakID,TAG,SOURCE,TYPE,COUNTRY,LAKE_NAME,AREA_KM2,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
533,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,123.9,27.32,63.3,27.30833,63.20833
535,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,116,26.6,63.29,26.675,63.20833
536,ELM,Burek_Lake,LAKE_M_EUR,Finland,Pjelinen,921.3,29.71,63.16,30.04167,62.975
538,ELM,Burek_Lake,LAKE_M_EUR,Finland,Kolmajarvi,100.7,25.82,63.27,25.94167,63.19167
537,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,162.2,28.04,63.02,27.85833,62.99167
539,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,210.8,27.37,63.03,27.39167,63.00833
541,ELM,Burek_Lake,LAKE_M_EUR,Finland,Nilakka,176.1,26.46,63.12,26.625,63.025
543,ELM,Burek_Lake,LAKE_M_EUR,Finland,Kivijarvi,164.4,25.16,63.15,25.225,63.09167
544,ELM,Burek_Lake,LAKE_M_EUR,Finland,Minijarvi,131,29.3,62.73,29.24167,62.65833
545,ELM,Burek_Lake,LAKE_M_EUR,Finland,Suvasvesi,262.3,28.33,62.62,28.29167,62.64167
546,ELM,Burek_Lake,LAKE_M_EUR,Finland,Juojarvi,211.2,28.69,62.68,28.74167,62.60833
547,ELM,Burek_Lake,LAKE_M_EUR,Russia,Yam,262.3,33.17,61.95,33.375,61.94167
548,ELM,Burek_Lake,LAKE_M_EUR,Finland,Keitele,521.9,25.99,62.89,25.95833,62.775
549,ELM,Burek_Lake,LAKE_M_EUR,Finland,Virmasvesi,207.6,26.87,62.83,26.825,62.89167
550,ELM,Burek_Lake,LAKE_M_EUR,Finland,Konnevesi,202.3,26.54,62.69,26.55833,62.69167
552,ELM,Burek_Lake,LAKE_M_EUR,Finland,Onkivesi,437.5,27.77,62.64,27.75833,62.70833
553,ELM,Burek_Lake,LAKE_M_EUR,Finland,Orivesi,958.7,29.59,62.35,29.30833,62.15833
554,ELM,Burek_Lake,LAKE_M_EUR,Russia,Janis Yarvi,199.6,30.9,62.01,30.95833,61.90833
556,ELM,Burek_Lake,LAKE_M_EUR,Finland,Pyhajarvi,232.4,29.99,61.87,29.925,62.025
557,ELM,Burek_Lake,LAKE_M_EUR,Russia,Onegh,9608.1,35.35,61.9,35.525,60.975
558,ELM,Burek_Lake,LAKE_M_EUR,Finland,Haukivesi,830.6,28.52,62.1,28.525,62.05833
559,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,139.9,27.05,62.02,27.05833,61.95833
560,ELM,Burek_Lake,LAKE_M_EUR,Finland,Puruvesi,1086.6,29.02,61.77,29.375,61.79167
561,ELM,Burek_Lake,LAKE_M_EUR,Finland,Puulavesi,344.9,26.66,61.84,26.69167,61.74167
562,ELM,Burek_Lake,LAKE_M_EUR,Finland,Suonne,151.6,26.5,61.72,26.425,61.64167
715,ELM,GLWD2,LAKE_M_EUR,Finland,Langelmavesi,181.1,24.35,61.55,24.125,61.40833
