ResID,TAG,SOURCE,TYPE,COUNTRY,DAM_NAME,ACTIVE_FRO,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
3912,ERS,GranD,RESERVOIR_S_EUR,Poland,Wiory,2004,21.19625,51.019583,21.19167,51.025
3913,ERS,GranD,RESERVOIR_S_EUR,Poland,Pilchowice,1912,15.647083,50.96625,15.64167,50.95833
3914,ERS,GranD,RESERVOIR_S_EUR,Poland,Mietkow,1986,16.642083,50.95375,16.64167,50.95833
3915,ERS,GranD,RESERVOIR_S_EUR,Poland,Dobromierz,1988,16.242083,50.907083,16.24167,50.90833
3916,ERS,GranD,RESERVOIR_S_EUR,Poland,Nielisz,1997,23.03375,50.804583,23.04167,50.80833
3917,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Josefuv Dul,1982,15.192083,50.795417,15.19167,50.79167
3918,ERS,GranD,RESERVOIR_S_EUR,Poland,Bukowka,1988,15.950417,50.71625,15.95833,50.70833
3919,ERS,GranD,RESERVOIR_S_EUR,Poland,Chancza,1985,21.054583,50.632917,21.05833,50.625
3920,ERS,GranD,RESERVOIR_S_EUR,Poland,Nysa,1971,17.304583,50.465417,17.30833,50.45833
3921,ERS,GranD,RESERVOIR_S_EUR,Poland,Otmuchow,1933,17.150417,50.462083,17.15833,50.45833
3922,ERS,GranD,RESERVOIR_S_EUR,Poland,Kozlowa Gora,1937,18.975417,50.41625,18.975,50.40833
3923,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Rozkos,1970,16.062083,50.36125,16.05833,50.35833
3924,ERS,GranD,RESERVOIR_S_EUR,Poland,Dzieckowice,1996,19.23375,50.112083,19.225,50.10833
3925,ERS,GranD,RESERVOIR_S_EUR,Poland,Goczalkowice,1956,18.929583,49.932917,18.925,49.94167
3926,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Slezska Harta,1997,17.579583,49.89125,17.575,49.89167
3927,ERS,GranD,RESERVOIR_S_EUR,Poland,Dobczyce,1988,20.079583,49.87625,20.09167,49.875
3928,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Sec,1934,15.650417,49.839583,15.65833,49.84167
3929,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Kruzberk,1956,17.65875,49.82625,17.65833,49.825
3930,ERS,GranD,RESERVOIR_S_EUR,Poland,Czchow,1954,20.679583,49.80875,20.675,49.80833
3931,ERS,GranD,RESERVOIR_S_EUR,Poland,Porabka,1937,19.200417,49.807083,19.19167,49.80833
3932,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Terlicko,1962,18.517083,49.772917,18.50833,49.775
3933,ERS,GranD,RESERVOIR_S_EUR,Poland,Roznow,1941,20.667083,49.759583,20.65833,49.75833
3934,ERS,GranD,RESERVOIR_S_EUR,Poland,Tresna,1967,19.20875,49.747083,19.20833,49.74167
3935,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Zermanice,1958,18.447083,49.732083,18.44167,49.74167
3936,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Svihov,1975,15.089583,49.727083,15.075,49.725
3937,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Vir 1,1959,16.30875,49.56625,16.30833,49.55833
3938,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Letovice,1976,16.554583,49.554583,16.54167,49.55833
3939,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Sance,1971,18.417083,49.510417,18.425,49.50833
3940,ERS,GranD,RESERVOIR_S_EUR,Poland,Myczkowce,1961,22.409583,49.43125,22.40833,49.425
3941,ERS,GranD,RESERVOIR_S_EUR,Poland,Czorsztyn-Niedzica,1997,20.32125,49.420417,20.325,49.425
3942,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Mostiste,1961,16.01375,49.395417,16.00833,49.39167
3943,ERS,GranD,RESERVOIR_S_EUR,Poland,Solina,1968,22.450417,49.395417,22.45833,49.39167
3944,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Orava,1953,19.554583,49.37875,19.55833,49.375
3945,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Nova Bystrica,1991,19.042917,49.34125,19.04167,49.34167
3946,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Opatovice,1973,16.929583,49.309583,16.925,49.30833
