ResID,GLWD_ID,GRAND_ID,Source,LAKE_NAME,DAM_NAME,LONG_DEG,LAT_DEG,LONG_OUTLE,LAT_OUTLET,VOLUME_Gra,VOL_SRC,COUNTRY,SEC_CNTRY,RIVER,NEAR_CITY,DAM_YEAR,note,X_coord,Y_coord,X_CORRECT,Y_CORRECT,LisfloodX3,LisfloodY3,remap_com
54,NA,895,GranD,,Gavins Point Dam,0,0,-97.487083,42.85375,666.1,GranD,United States,,Missouri,,1958,"added from GranD, GloFAS station below G0656",0,0,-97.55,42.85,-97.475,42.875,remapped
55,3615,NA,GLWD,,,-1.33,14.72,NA,NA,NA,Statistics,Mali,Burkina Faso,,,0,"cat2, not mr, not fc",-1.35,14.75,-1.35,14.75,-1.325,14.725,correct position
56,3617,NA,GLWD,Cheney Reservoir,,-97.85,37.76,NA,NA,NA,Statistics,United States,,,,0,,-97.85,37.75,-97.85,37.75,-97.825,37.725,remapped
57,2398,NA,GLWD,,Rapel,-71.47,-34.17,NA,NA,NA,ICOLD_LRs,Chile,,Rapel,Melipilla,1968,"cat2, cts, 4 pixels",-71.55,-34.05,-71.55,-34.05,-71.525,-34.075,remapped
58,3670,NA,GLWD,,Sesquile,-73.83,4.97,NA,NA,NA,ICOLD_LRs,Colombia,,Tomine,Zipaquira,1962,,-73.85,5.05,-73.85,5.05,-73.825,5.025,remapped
59,1546,NA,GLWD,Pyhajarvi,Melo,23.51,61.37,NA,NA,NA,ICOLD_LRs,Finland,,Kokemaenjoki,Tampere,1971,,23.45,61.45,23.35,61.35,23.425,61.475,remapped
60,3612,NA,GLWD,,,-91.23,43.65,NA,NA,NA,Statistics,United States,,,,0,"remove, no dam",-91.25,43.55,-91.25,43.55,-91.225,43.575,remapped
61,1517,NA,GLWD,,Rapide-Des-Cedres,-75.69,46.11,NA,NA,NA,ICOLD_LRs,Canada,,Lievre,Notre-Dame du-Laus,1930,,-75.65,46.05,-75.65,46.05,-75.675,46.125,remapped
62,3649,NA,GLWD,,Brazeau,-115.65,52.94,NA,NA,NA,ICOLD_LRs,Canada,,Brazeau,Lodgepole,1962,,-115.65,52.95,-115.65,52.95,-115.625,52.975,remapped
63,3607,NA,GLWD,Bung Boraphet,,100.26,15.69,NA,NA,NA,Statistics,Thailand,,,,0,"remove, not reservoir but lake,swamp",100.25,15.65,100.25,15.65,100.175,15.725,remapped
64,3549,NA,GLWD,De Gray Reservoir,,-93.17,34.23,NA,NA,NA,Statistics,United States,,,,0,,-93.15,34.25,-93.15,34.25,-93.125,34.225,remapped
65,3566,NA,GLWD,,,-4.28,37.25,NA,NA,NA,Statistics,Spain,,,,0,"cat2, not mr, not fc",-4.35,37.25,-4.35,37.25,-4.375,37.275,remapped
66,3683,NA,GLWD,,Mohammed V,-2.93,34.63,NA,NA,NA,LRs,Morocco,,Moulouya,Nador,1967,"cat2. not mr, not fc",-2.95,34.65,-2.95,34.65,-2.925,34.675,remapped
67,3692,NA,GLWD,,Fenhe,111.87,38.09,NA,NA,NA,ICOLD,China,,Fen He,Taiyuan,1961,,111.85,38.05,111.85,38.05,111.925,38.075,correct position - centered in pixel
68,3516,NA,GLWD,Lahontan Reservoir,,-119.18,39.39,NA,NA,NA,Statistics,United States,,,,0,"cat2, 5 pixels to pit (ldd sink)",-119.05,39.45,-119.05,39.45,-119.075,39.425,remapped
69,3641,NA,GLWD,,Rebnisjaure,17.13,66.5,NA,NA,NA,ICOLD_LRs,Sweden,,Skelleftealv,Arjeplog,1974,"cat2, not mr, not fc",17.25,66.45,17.25,66.45,17.325,66.425,remapped
70,3712,NA,GLWD,,Paloma,-71,-30.74,NA,NA,NA,ICOLD_LRs,Chile,,Grande,Ovalle,1967,,-70.95,-30.75,-71.05,-30.65,-71.025,-30.725,remapped
71,1418,NA,GLWD,West Point Lake,West Point,-85.22,33.08,NA,NA,NA,ICOLD_LRs,United States,,Chattahoochee,West Point,1974,,-85.15,33.05,-85.15,32.95,-85.175,32.925,remapped
72,3470,NA,GLWD,,,-91.3,43.87,NA,NA,NA,Statistics,United States,,,,0,"cat2, some hydraulic structue not dam",-91.35,43.95,-91.35,43.95,-91.325,43.875,remapped
73,3476,NA,GLWD,,,125.82,43.88,NA,NA,NA,Statistics,China,,,,0,,125.75,43.95,125.75,43.95,125.725,43.925,remapped
74,3716,NA,GLWD,,Chivor,-73.34,4.96,NA,NA,NA,ICOLD,Colombia,,Bata,Guateque,1975,,-73.35,4.95,-73.35,4.95,-73.325,4.925,remapped
75,3406,NA,GLWD,,,29.21,-28.72,NA,NA,NA,Statistics,South Africa,,,,0,cat2,29.25,-28.75,29.25,-28.75,29.225,-28.775,remapped
