station_id,version__origin__name,version__version,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River,KGE,correlation,bias,variability
49,EFAS,12,Mainz,8.275352,50.003966,1,NRT_6h,C333,Rhine,DE,98300.0,98206.0,Rhine,3.0,0,True,1,1,1,1,1,1,80.4,True,4197500.0,2987500.0,6.0,ID_49.mod,,49,True,1004,True,Rhine,0.93,0.932,1.002,1.018
50,EFAS,12,Koblenz,7.60477,50.358608,1,HIST_24h,,Rhine,DE,109850.0,109806.0,Rhine,3.0,0,True,0,1,1,0,1,1,57.67,True,4147500.0,3027500.0,24.0,ID_50.mod,,50,False,1004,False,Rhine,0.875,0.932,1.086,0.94
51,EFAS,12,St.Arnual,7.022796,49.214863,1,HIST_6h,,Rhine,DE,3900.0,3945.0,Rhine,1.0,0,True,1,1,1,1,1,1,183.25,False,4102500.0,2902500.0,6.0,ID_51.mod,Limited data period,51,True,1004,True,Saar,0.88,0.886,1.025,0.973
52,EFAS,12,Kehl-Kronenhof,7.806693,48.563364,1,NRT_6h,,Rhine,DE,39525.0,39330.0,Rhine,0.0,0,True,1,1,1,1,1,1,133.0,False,4157500.0,2832500.0,6.0,ID_52.mod,Large Oscillations   change in low flow,52,True,1004,True,Rhine,,,,
53,EFAS,12,Diez Hafen,8.004968,50.371941,1,NRT_6h,,Rhine,DE,4900.0,4907.0,Rhine,2.0,0,True,1,1,1,1,1,1,101.26,False,4182500.0,3032500.0,6.0,ID_53.mod,close to 42,53,True,1004,True,Lahn,,,,
54,EFAS,12,Wesel,6.606833,51.646106,1,NRT_6h,,Rhine,DE,154150.0,154528.0,Rhine,1.0,0,True,1,1,1,1,1,1,11.2,False,4087500.0,3172500.0,6.0,ID_54.mod,Limited data period,54,True,1004,True,Rhine,,,,
55,EFAS,12,Bingen,7.899702,49.970312,1,,,Rhine,DE,99225.0,99090.0,Rhine,,0,False,0,0,1,0,1,1,76.18,False,4172500.0,2987500.0,,,No discharge data available for calibration period,55,False,1004,False,Rhine,,,,
56,EFAS,12,Oestrich,8.030081,50.002836,1,,,Rhine,DE,98675.0,98600.0,Rhine,,0,False,0,0,1,0,1,1,77.56,False,4182500.0,2987500.0,,,No discharge data available for calibration period,56,False,1004,False,Rhine,,,,
57,EFAS,12,Andernach,7.392084,50.443357,1,NRT_6h,,Rhine,DE,139600.0,139549.0,Rhine,2.0,0,True,1,1,1,1,1,1,51.47,False,4132500.0,3042500.0,6.0,ID_57.mod,Few outliers removed with qc close to 62,57,True,1004,True,Rhine,,,,
58,EFAS,12,Düsseldorf,6.769909,51.225463,1,NRT_6h,C203,Rhine,DE,147750.0,147680.43,Rhine,3.0,0,True,1,1,1,1,1,1,24.48,True,4092500.0,3127500.0,6.0,ID_58.mod,,58,True,1004,True,Rhine,0.928,0.93,1.017,0.998
59,EFAS,12,Steinbach,9.60371,50.009961,1,NRT_6h,,Rhine,DE,17925.0,17914.2,Rhine,3.0,0,True,1,1,1,1,1,1,146.33,True,4297500.0,2992500.0,6.0,ID_59.mod,,59,True,1004,True,Main,0.761,0.855,1.142,1.126
60,EFAS,12,Fremersdorf,6.648444,49.408914,1,NRT_6h,C214,Rhine,DE,7025.0,6983.0,Rhine,3.0,0,True,1,1,1,1,1,1,165.5,True,4077500.0,2932500.0,6.0,ID_60.mod,,60,True,1004,True,Saar,0.849,0.899,1.096,0.941
61,EFAS,12,Gundelsheim UP,9.153664,49.281374,1,,,Rhine,DE,12475.0,12332.0,Rhine,,0,False,0,0,1,0,1,1,136.63,False,4257500.0,2907500.0,,,No discharge data available for calibration period,61,False,1004,False,Neckar,,,,
62,EFAS,12,Bonn,7.10807,50.736364,1,NRT_6h,,Rhine,DE,140775.0,140901.0,Rhine,3.0,0,True,1,1,1,1,1,1,42.66,True,4117500.0,3072500.0,6.0,ID_62.mod,,62,True,1004,True,Rhine,0.93,0.932,1.016,0.992
63,EFAS,12,Speyer,8.44876,49.323786,1,NRT_6h,C334,Rhine,DE,53250.0,53131.0,Rhine,3.0,0,True,1,1,1,1,1,1,88.51,True,4212500.0,2917500.0,6.0,ID_63.mod,,63,True,1004,True,Rhine,0.926,0.93,1.021,0.988
64,EFAS,12,Heidelberg UP,8.717778,49.414661,1,HIST_24h,,Rhine,DE,13900.0,13783.0,Rhine,0.0,0,True,0,1,1,1,1,1,103.26,False,4227500.0,2922500.0,24.0,ID_64.mod,Almost same location as 932  wrong hydrometric zero,64,False,1004,False,Neckar,,,,
65,EFAS,12,Nierstein-Oppenheim,8.35244,49.864958,1,,,Rhine,DE,70500.0,70387.0,Rhine,,0,False,0,0,1,0,1,1,80.19,False,4202500.0,2972500.0,,,No discharge data available for calibration period,65,False,1004,False,Rhine,,,,
66,EFAS,12,Mannheim,8.45413,49.48476,1,,,Rhine,DE,54175.0,54017.0,Rhine,,0,False,0,0,1,0,1,1,85.16,False,4207500.0,2927500.0,,,No discharge data available for calibration period,66,False,1004,False,Rhine,,,,
