id,name,river,subcatchment,catchment,country,area,strahler,pfafstetter,calibrated,X,Y,notes,KGE,correlation,bias,variability
38,Cochem,Moselle,Moselle,Rhine,DE,27025,,4111.0,True,4122500,3007500,,0.911,0.921,0.993,0.961
39,Trunstadt,Main,Main,Rhine,DE,11950,,8711.0,True,4372500,2982500,Outliers  zeros removed with qc,0.798,0.834,1.112,1.031
40,Koeln,Rhine,Rhine,Rhine,DE,144150,,3511.0,False,4107500,3092500,Few outliers removed with qc close to 58 and 62,0.932,0.934,1.012,0.998
42,Kalkofen (Neu),Lahn,Lahn,Rhine,DE,5275,,5211.0,True,4172500,3027500,,0.898,0.935,0.933,0.957
43,Wuerzburg,Main,Main,Rhine,DE,14125,,8711.0,False,4317500,2967500,Outliers  zeros removed with qc  small oscillations  close to 39 and 59,,,,
45,Worms,Rhine,Rhine,Rhine,DE,68950,,9111.0,True,4202500,2947500,,0.923,0.927,1.022,1.014
46,Emmerich,Rhine,Rhine,Rhine,DE,159550,,3311.0,False,4057500,3197500,Close to 153,,,,
47,Ruhrort,Rhine,Rhine,Rhine,DE,152875,,3311.0,True,4092500,3157500,,0.933,0.935,1.015,1.001
48,Rees,Rhine,Rhine,Rhine,DE,159400,,3311.0,False,4067500,3192500,Close to 153,,,,
49,Mainz,Rhine,Rhine,Rhine,DE,98300,,7111.0,True,4197500,2987500,,0.93,0.932,1.002,1.018
50,Koblenz,Rhine,Rhine,Rhine,DE,109850,,5111.0,True,4147500,3027500,,0.875,0.932,1.086,0.94
51,St.Arnual,Saar,Moselle,Rhine,DE,3900,,4211.0,False,4102500,2902500,Limited data period,0.88,0.886,1.025,0.973
52,Kehl-Kronenhof,Rhine,Rhine,Rhine,DE,39525,,11711.0,False,4157500,2832500,Large Oscillations   change in low flow,,,,
53,Diez Hafen,Lahn,Lahn,Rhine,DE,4900,,5211.0,False,4182500,3032500,close to 42,,,,
54,Wesel,Rhine,Rhine,Rhine,DE,154150,,3311.0,False,4087500,3172500,Limited data period,,,,
57,Andernach,Rhine,Rhine,Rhine,DE,139600,,3711.0,False,4132500,3042500,Few outliers removed with qc close to 62,,,,
58,Düsseldorf,Rhine,Rhine,Rhine,DE,147750,,3511.0,True,4092500,3127500,,0.928,0.93,1.017,0.998
59,Steinbach,Main,Main,Rhine,DE,17925,,8511.0,True,4297500,2992500,,0.761,0.855,1.142,1.126
60,Fremersdorf,Saar,Moselle,Rhine,DE,7025,,4211.0,True,4077500,2932500,,0.849,0.899,1.096,0.941
62,Bonn,Rhine,Rhine,Rhine,DE,140775,,3511.0,True,4117500,3072500,,0.93,0.932,1.016,0.992
63,Speyer,Rhine,Rhine,Rhine,DE,53250,,11111.0,True,4212500,2917500,,0.926,0.93,1.021,0.988
64,Heidelberg UP,Neckar,Neckar,Rhine,DE,13900,,10111.0,False,4227500,2922500,Almost same location as 932  wrong hydrometric zero,,,,
67,Breisach,Rhine,Rhine,Rhine,DE,37575,,11711.0,True,4142500,2777500,,0.786,0.882,0.95,1.172
68,Rheinweiler,Rhine,Rhine,Rhine,DE,36650,,11711.0,False,4137500,2737500,Extremely low discharge possibly wrong location or wrong rating curve,,,,
69,Erlln,Freiberger Mulde,Mulde,Elbe,DE,5375,3.0,6111.0,False,4517500,3117500,Moved on Elbe main stream  close to 82,,,,
71,Kriebstein UP,Zschopau,Mulde,Elbe,DE,1800,4.0,6221.0,True,4532500,3112500,Dam,0.828,0.833,0.974,1.031
73,Zwickau-Poelbitz,Zwickauer Mulde,Mulde,Elbe,DE,1025,2.0,6311.0,True,4497500,3072500,,0.78,0.824,0.932,1.114
74,Wolkenburg,Zwickauer Mulde,Mulde,Elbe,DE,1400,2.0,6311.0,False,4507500,3087500,Outliers  zeros  negative values removed with qc close to 73,0.658,0.816,0.935,1.28
75,Wechselburg 1,Zwickauer Mulde,Mulde,Elbe,DE,2125,2.0,6311.0,False,4517500,3102500,close to 80,0.652,0.853,0.879,1.292
76,Riesa,Elbe,"Elbe, below Ohre",Elbe,DE,54450,1.0,9111.0,False,4552500,3137500,Few outliers on 2013 flood  zeros  close to 78,0.682,0.738,1.164,1.077
77,Muehlberg,Elbe,"Elbe, below Ohre",Elbe,DE,55075,1.0,9111.0,False,4542500,3152500,Extremely low discharge conpared to catchment size  Possibly wrong location or wrong data,,,,
78,Torgau,Elbe,"Elbe, below Ohre",Elbe,DE,55150,1.0,9111.0,True,4532500,3157500,,0.715,0.762,1.154,1.027
