like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
1.6365507,0.53909075,0.83561456,0.2643989,0.100615315,0.5270734,1.9482222,0.0,2.7018988718918235
1.6308641,0.20323959,0.9196522,0.19924414,0.15847613,0.60517454,2.809536,0.0,2.690736776198665
1.6680452,0.2821314,0.71795684,0.8821394,0.46944782,0.5422407,4.576824,0.0,2.724502755225549
1.6256229,0.4609202,0.9697308,0.8473767,0.2938306,0.6132143,1.5208209,0.0,2.6844977406838715
1.6374252,0.27432916,0.8530131,0.96208733,0.49726892,0.7548604,3.5950618,0.0,2.698570355090328
1.6429731,0.40620813,0.79815483,0.52659446,0.12813893,0.69585526,1.3528222,0.0,2.707199847665969
1.6360843,0.44907644,0.86527073,0.6318314,0.24427947,0.7407692,1.9480442,0.0,2.6967275838919424
1.6495072,0.41791314,0.7796894,0.49612316,0.23258883,0.7317794,2.5884528,0.0,2.7087452993697365
1.6354156,0.64830565,0.8337129,0.4824509,0.07845173,0.87172705,3.7700465,0.0,2.7017265851278363
1.6730357,0.37115946,0.6897641,0.2901315,0.13069254,0.5525919,1.4701536,0.0,2.733119359148297
1.6334411,0.49251506,0.8864012,0.6866046,0.14793544,0.5862501,3.965327,0.0,2.695134613570158
1.6254687,0.5847986,0.9310334,0.05849295,0.23896176,0.81097597,2.5574791,0.0,2.693246159503098
1.6492515,0.3598411,0.77060866,0.14950676,0.18705529,0.6612674,1.3488685,0.0,2.7124398644308494
1.6621286,0.4062146,0.7249969,0.66777,0.49023265,0.8727597,3.8872185,0.0,2.722872892648593
1.6310476,0.22058429,0.9298085,0.5648431,0.34710276,0.71704876,1.4555365,0.0,2.688772133261843
1.6238316,0.50427014,0.96613735,0.6763071,0.1296884,0.79274523,1.9619141,0.0,2.685434839204881
1.6754408,0.22609808,0.6795251,0.2977582,0.39375305,0.8177328,2.290578,0.0,2.741153806820601
1.6708423,0.42778954,0.7641628,0.17940643,0.38620692,0.9744118,4.586749,0.0,2.6762402744321694
1.6526358,0.2360281,0.77080655,0.7763977,0.34161898,0.68284047,2.442201,0.0,2.7113097462214872
1.629548,0.6580914,0.90906817,0.6128954,0.03593011,0.8336857,2.6917698,0.0,2.692598463937862
1.646879,0.22745603,0.7966893,0.118352555,0.40072235,0.78275454,4.3856406,0.0,2.710855598156503
1.6582102,0.20133376,0.7515501,0.76683486,0.3438346,0.75068027,3.1190062,0.0,2.7141801106849006
1.6286314,0.33130056,0.9352059,0.53143686,0.19962369,0.7250416,1.6339661,0.0,2.6882510205183
1.6346353,0.3900892,0.88580585,0.36535877,0.11204048,0.6206136,4.3577986,0.0,2.6948174770669366
1.657181,0.5408127,0.74333316,0.7656023,0.32738966,0.74040806,3.323672,0.0,2.717404762101077
1.6417433,0.21709348,0.82564056,0.42917803,0.16376184,0.64555615,4.016891,0.0,2.70226261632395
1.6447468,0.53576595,0.8041983,0.6831846,0.38884312,0.6938127,1.077428,0.0,2.7059511849223195
1.665857,0.22246608,0.7274018,0.25431687,0.48945376,0.52304685,2.268454,0.0,2.7219771428546222
1.6417502,0.33353594,0.81979555,0.8000878,0.22611888,0.6129347,4.1744084,0.0,2.703444793296931
1.6441114,0.4619256,0.80481654,0.84308416,0.34195772,0.67306054,1.5986012,0.0,2.7057232817296493
