like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.47075334,0.56402344,0.29204512,0.9291812,0.49116194,0.3105587,0.6471139,3.2787163,1.0
0.55651647,0.5212103,0.33511353,0.8259344,0.4847606,0.12228154,0.86900955,4.497268,1.0
0.46762094,0.96731883,0.6218372,0.91537744,0.7724584,0.19379711,0.95865005,3.1414368,1.0
0.46655437,0.7796043,0.37273183,0.8825779,0.7378191,0.10458727,0.62691486,3.5300105,1.0
0.57099557,0.44581354,0.26465225,0.85458684,0.64655954,0.47568947,0.78731304,2.9398208,1.0
0.45792842,0.7590458,0.56225616,0.7454042,0.47392687,0.14873691,0.7605516,3.641246,1.0
0.4730342,0.8257703,0.27925083,0.793857,0.7744413,0.08625235,0.5681529,3.2199066,1.0
0.6543146,0.26357403,0.38301343,0.8455179,0.22219427,0.48198897,0.80270743,2.8577654,1.0
0.4628229,0.7580162,0.44830787,0.76615685,0.68605685,0.20541239,0.84392947,2.1107438,1.0
0.45431647,0.84554785,0.48563457,0.7729406,0.7555407,0.04591497,0.7872537,1.7640095,1.0
0.47356597,0.8818013,0.64614433,0.7165625,0.66673887,0.35611302,0.93698,2.019537,1.0
0.48180595,0.74227697,0.4367375,0.67085075,0.5960595,0.44188115,0.52391255,2.3487122,1.0
0.4680396,0.5433327,0.25233814,0.6908497,0.11178821,0.026983455,0.61973923,3.7710507,1.0
0.48763672,0.6831898,0.39068565,0.67898643,0.44416255,0.026455581,0.89654773,4.3219385,1.0
0.47746062,0.9414668,0.29149488,0.7455477,0.11180466,0.11921176,0.66079664,1.1352767,1.0
0.4955716,0.49202666,0.46254534,0.791429,0.18267488,0.39852172,0.9624176,4.3338375,1.0
0.45063815,0.8206057,0.21101142,0.8921456,0.785197,0.23733568,0.9884868,3.6779718,1.0
0.47614422,0.7145591,0.2196453,0.78933597,0.3294759,0.29979938,0.5499589,2.1495671,1.0
0.47368032,0.79040575,0.51166964,0.89919555,0.15379177,0.024709376,0.56064034,2.2114556,1.0
0.47248387,0.70867497,0.2841532,0.67919934,0.963829,0.49862474,0.6054518,1.2413067,1.0
0.46398547,0.8800647,0.26796582,0.9324503,0.84772414,0.08723725,0.9215063,3.7161274,1.0
0.47007433,0.74529004,0.30500153,0.9594154,0.57492965,0.005759602,0.6162346,4.323061,1.0
0.4998893,0.49603546,0.24242623,0.87596107,0.6979595,0.4846672,0.9194986,2.9134285,1.0
0.50152296,0.6223786,0.49710703,0.75038064,0.13130888,0.05066758,0.93627536,2.3675163,1.0
0.7161623,0.37658674,0.274053,0.823792,0.057171807,0.09977332,0.8491774,4.564398,1.0
0.57189685,0.550653,0.57766896,0.94734806,0.38200784,0.3765601,0.763062,4.1142516,1.0
0.56039953,0.59778005,0.54531115,0.90592855,0.3928086,0.2225742,0.79049784,1.8607161,1.0
0.47802165,0.87297726,0.57432413,0.691626,0.07280583,0.02586637,0.55244046,1.5278449,1.0
0.6302594,0.41780105,0.37435114,0.9430422,0.36208686,0.10680766,0.8830734,4.699421,1.0
0.4840361,0.94429123,0.38138157,0.86853516,0.99892944,0.37964004,0.5644194,1.6603662,1.0
0.48372793,0.6331823,0.4609933,0.73209685,0.28418377,0.4354302,0.963645,1.0261282,1.0
0.54767495,0.5760496,0.5454851,0.9113992,0.24760944,0.04728294,0.9227476,2.56961,1.0
0.4833895,1.2100482,0.5995732,0.7203396,0.98820657,0.04067949,0.6296195,4.402243,1.0
0.46593672,0.8760879,0.6341921,0.91302437,0.7584238,0.3701619,0.9861415,2.6181352,1.0
0.48453206,0.93157154,0.36062583,0.9105074,0.25934303,0.27684015,0.7630259,1.0326693,1.0
0.46817592,0.7168007,0.5500815,0.6742114,0.8215561,0.47471598,0.8642419,3.0700784,1.0
0.46498308,0.8164259,0.61627245,0.7289268,0.49574387,0.2730947,0.6671986,3.667505,1.0
0.6445266,0.351669,0.23866743,0.88834894,0.40781847,0.08512453,0.86103666,3.8404517,1.0
0.45474017,0.7938947,0.5826324,0.72468686,0.6415788,0.35939544,0.8213914,1.7621042,1.0
0.61958027,0.38742226,0.27428657,0.69580734,0.12990732,0.47524118,0.7560837,3.3239722,1.0
0.46497893,0.7188913,0.35673213,0.6890861,0.6897894,0.34058428,0.8934113,3.317433,1.0
0.60375446,0.4117576,0.30508417,0.75266075,0.20724358,0.3847341,0.93572235,4.186802,1.0
0.46449727,0.8247407,0.3758949,0.7199391,0.8061723,0.16018347,0.6410805,3.4254034,1.0
0.4606619,0.665102,0.57482296,0.7404772,0.6890853,0.4662538,0.7049968,2.6252553,1.0
0.46821123,0.53447396,0.5163979,0.7949911,0.14637677,0.3739139,0.6505451,4.3807898,1.0
0.46437457,0.7926295,0.64541596,0.7904902,0.4482859,0.35576957,0.938714,4.8743067,1.0
0.48428512,0.95363194,0.28730357,0.7417621,0.95461285,0.26271045,0.5052721,2.5786698,1.0
0.47445744,0.6950708,0.4077216,0.91513973,0.78817064,0.38741246,0.7636902,2.812068,1.0
0.46936277,0.8148517,0.590334,0.8497456,0.81361294,0.40452048,0.9701052,1.3968605,1.0
0.58136916,0.54199487,0.57993543,0.9367875,0.17918749,0.04127044,0.81808263,2.935031,1.0
0.4635384,0.82447016,0.62042546,0.7781654,0.5026411,0.14451116,0.6784549,1.4713538,1.0
0.4618963,0.83481616,0.52251685,0.72457373,0.6957016,0.1808124,0.62353414,4.277376,1.0
0.47726402,1.0578353,0.29040757,0.8115989,0.9682295,0.091608346,0.6085842,4.520613,1.0
0.5636739,0.5198137,0.58916444,0.8800405,0.010328234,0.15160856,0.79720485,1.7273582,1.0
0.5014464,0.3679598,0.26633173,0.8289474,0.0056006117,0.17578045,0.6565497,4.713653,1.0
0.46054855,0.65519327,0.5200428,0.83070457,0.7296871,0.45472437,0.8862312,4.348999,1.0
0.5724824,0.4505455,0.5208686,0.8868271,0.37215185,0.44924918,0.8326223,4.4310126,1.0
0.45892555,0.89310515,0.2507979,0.693914,0.8808011,0.16091688,0.9004191,3.0617537,1.0
0.47103354,0.8741709,0.66473114,0.7093094,0.55271804,0.34010506,0.67315537,2.0088007,1.0
0.83537275,0.7294969,0.20960736,0.92604584,0.04875943,0.24809055,0.89614654,4.7457075,1.0
0.48167896,1.1836408,0.47238517,0.7290144,0.9852193,0.040278435,0.65386903,2.111961,1.0
0.5475732,0.4639049,0.2672573,0.8825992,0.4035625,0.351884,0.8781279,1.4348086,1.0
0.4655609,0.7857552,0.5163288,0.8091502,0.38314795,0.011202466,0.65452313,1.5072477,1.0
0.47785354,0.620082,0.25623727,0.67602223,0.5350016,0.29491994,0.94353485,3.3329213,1.0
0.4620301,0.60873234,0.5340844,0.84236276,0.10137816,0.3615548,0.5983193,3.8500896,1.0
0.48031828,0.6316927,0.42092514,0.9328404,0.7893978,0.4628066,0.79667133,2.3959355,1.0
0.4619651,0.93319684,0.60301524,0.85079646,0.74009335,0.12235309,0.92949694,1.518466,1.0
0.4749789,0.7239432,0.31320396,0.7084633,0.029303212,0.19446473,0.6845306,1.3780122,1.0
0.51259935,0.6432394,0.6069025,0.7900602,0.13594994,0.22907789,0.8078076,2.3231475,1.0
0.49861687,0.55972725,0.4201841,0.6850277,0.29750082,0.36144155,0.9134567,3.3720398,1.0
0.47358528,0.98040164,0.3058385,0.96596783,0.9723846,0.3332216,0.7420179,1.2735304,1.0
0.46024948,0.767855,0.40862802,0.72005206,0.5251832,0.024273386,0.6178439,1.7039889,1.0
0.4793794,0.87626255,0.65953344,0.81775045,0.44854784,0.16483012,0.546164,4.2523007,1.0
0.47003096,0.98165643,0.34963083,0.8811485,0.9525148,0.2535258,0.74823254,2.7731986,1.0
0.5168194,0.58339393,0.62612337,0.9289912,0.119295225,0.23094176,0.6857424,4.9387727,1.0
0.51155454,0.6340659,0.4066353,0.7278728,0.32620627,0.1764657,0.8224859,1.3811789,1.0
0.4657944,0.8253298,0.36860478,0.91914874,0.8068661,0.22701553,0.9169325,4.106008,1.0
0.56778854,0.40811482,0.4691782,0.7345073,0.23872137,0.4825355,0.7865242,4.4679694,1.0
0.4675748,0.56797725,0.32063875,0.9009896,0.15757194,0.007555088,0.6318447,3.4065647,1.0
0.45602152,0.60965645,0.58591247,0.8184019,0.07450112,0.40085632,0.9788299,3.8111904,1.0
0.5716316,0.4525334,0.3710588,0.76702684,0.32380396,0.25838667,0.8789675,4.4854293,1.0
0.45559335,0.8430224,0.32129914,0.78437006,0.8503903,0.11924286,0.83370763,3.8008058,1.0
0.46321973,0.56609124,0.43066582,0.8608257,0.6136788,0.47064745,0.95254874,4.482945,1.0
0.46845955,0.5832005,0.46662036,0.9505946,0.00699016,0.33799592,0.60902613,4.9801245,1.0
0.4912356,0.5267939,0.33738992,0.69735163,0.38800123,0.38510233,0.9432256,2.9188297,1.0
0.46158764,0.76500934,0.66385007,0.8702129,0.28746593,0.20374891,0.5952454,2.2973046,1.0
0.46252003,0.83870137,0.5106853,0.6935886,0.8060452,0.34434116,0.82212645,3.5530827,1.0
0.48739374,0.5781452,0.5370646,0.77573115,0.2662969,0.39714658,0.9222136,2.6942375,1.0
0.48215294,0.81454885,0.4493166,0.87286526,0.72757405,0.39632016,0.753474,1.078729,1.0
0.46091756,0.7796091,0.3650494,0.95101166,0.8361511,0.3351327,0.6954615,2.919322,1.0
0.4787571,1.0496743,0.3087983,0.7208749,0.97696865,0.1405874,0.7542549,2.3922079,1.0
0.47957113,1.0219913,0.5200022,0.73778355,0.9649673,0.22109331,0.7585677,3.532492,1.0
0.53375787,0.64169455,0.5131722,0.81000566,0.3561662,0.12985511,0.8667841,1.537325,1.0
0.4714729,0.5733852,0.34459308,0.9035512,0.37927428,0.06586851,0.6564849,2.6095848,1.0
0.4872324,0.77925974,0.62195927,0.928892,0.004098251,0.25441548,0.8387378,1.1752115,1.0
0.782556,0.3270057,0.33834437,0.9353531,0.08568142,0.15257342,0.8919776,2.7119493,1.0
0.5837792,0.44360557,0.2982979,0.7492371,0.19810265,0.27413818,0.94260514,3.3856719,1.0
0.46506354,0.84505564,0.5178066,0.8092155,0.8887647,0.3700323,0.6430305,1.6414753,1.0
0.46185842,0.8727866,0.58842623,0.7625213,0.44995096,0.10795089,0.95992607,1.7267505,1.0
0.4691027,0.7359292,0.27815035,0.9466238,0.3560787,0.44974476,0.60985655,1.483697,1.0
0.4665148,0.72793466,0.24948344,0.7853972,0.7308466,0.08953469,0.6478663,4.020032,1.0
0.46541947,0.76051617,0.5912557,0.70857215,0.5168707,0.37897807,0.6498459,2.9317553,1.0
0.46692303,0.5632322,0.40400675,0.7986434,0.19746588,0.10000441,0.6355738,4.74295,1.0
0.4703875,0.9394382,0.65218836,0.72165406,0.45578533,0.019192277,0.62284535,4.5088124,1.0
0.4656728,0.8757837,0.28623423,0.7038885,0.9070643,0.20200162,0.71574426,3.4246392,1.0
0.591308,0.33234802,0.2358766,0.8509124,0.37194842,0.41301513,0.84223336,1.7208822,1.0
0.519472,0.58887905,0.51277477,0.7598622,0.09354593,0.010781241,0.7339548,2.6723838,1.0
0.46416438,1.0098538,0.23432374,0.85058737,0.9444943,0.09515457,0.8570933,3.6245208,1.0
0.48068634,1.000415,0.27316624,0.9696704,0.96517277,0.32088578,0.55142516,1.3134556,1.0
0.6617135,0.36999223,0.25524944,0.7330315,0.14934222,0.27197963,0.8240126,3.110615,1.0
0.5682681,0.56334656,0.52476203,0.9630822,0.3833508,0.15232955,0.8843576,3.5572643,1.0
0.46225998,0.6198063,0.40655184,0.85613334,0.34253445,0.49999326,0.594851,1.772795,1.0
0.45170856,0.51460063,0.412559,0.74673504,0.3740632,0.48152834,0.9863969,3.174335,1.0
0.46162722,0.74945027,0.6634872,0.8276457,0.25430822,0.100841574,0.686049,1.8192556,1.0
0.52577674,0.6727333,0.48358512,0.8496013,0.50934553,0.28431565,0.9213621,1.4014329,1.0
0.46037132,0.66545457,0.40170383,0.8138071,0.7546228,0.448775,0.955076,3.182264,1.0
0.49294356,1.2229024,0.6622202,0.75153327,0.9786583,0.041061886,0.9406498,1.2484822,1.0
0.48738232,0.54323965,0.51142675,0.8124806,0.33466306,0.39240596,0.6766904,2.7486973,1.0
0.46350935,0.7327612,0.39865273,0.9412964,0.85183495,0.4209459,0.6800261,3.888758,1.0
0.46716046,0.655508,0.54693735,0.9464021,0.3110855,0.23087335,0.62881935,4.531467,1.0
0.49084452,0.7291386,0.42686555,0.7572157,0.41566342,0.16284141,0.97916585,1.3349758,1.0
0.4756181,0.9285808,0.6491793,0.73649937,0.4719111,0.028373916,0.5800012,3.0657806,1.0
0.4839018,0.5350933,0.45942155,0.81014675,0.058794618,0.33381832,0.98905766,3.9637432,1.0
0.5783752,0.4163091,0.39026934,0.7543941,0.12263567,0.08446195,0.7317981,2.4435093,1.0
0.48322213,0.7642696,0.6014286,0.8496435,0.8288415,0.49672607,0.5090959,1.9059901,1.0
0.52441245,0.6248331,0.3087088,0.91286993,0.5673251,0.007442959,0.7170784,3.5725918,1.0
0.5545104,0.5150536,0.3837157,0.8059754,0.16714501,0.11550558,0.9771604,1.831363,1.0
0.4984826,0.57038426,0.3113865,0.7733508,0.049891703,0.20266943,0.6598368,1.7590722,1.0
0.48092303,0.8207208,0.3605725,0.804186,0.5751222,0.4098711,0.53024304,1.2858981,1.0
